66	1.64938
69	2.57667
48	7.27492
105	2.33463
66	1.99474
45	2.19943
84	2.54476
69	0.637861
93	4.69407
45	5.07439
51	1.79373
102	2.29954
81	3.00009
87	1.36629
48	1.58691
42	0.578343
60	5.95689
72	2.0816
123	6.05051
111	2.99945
96	1.33897
48	2.8224
39	9.7603
66	0.524823
78	0.805052
60	3.34388
90	2.74895
48	6.57316
42	1.84219
39	3.12506
42	1.69411
48	0.585814
39	6.91709
45	2.4291
27	5.53905
54	3.89016
135	4.27808
111	4.23302
117	2.89654
105	1.46164
93	1.20582
78	5.66415
84	6.08737
129	4.2953
75	5.81074
84	0.986938
111	0.511834
42	2.29526
54	3.4056
66	6.86258
87	4.29514
57	4.40079
84	1.24885
75	4.99565
45	1.1793
78	0.697485
81	1.58868
153	2.49978
45	7.81612
60	2.26934
42	1.18807
39	0.916833
111	3.24467
96	1.04485
84	8.17643
48	0.968294
48	3.75776
45	0.698565
123	1.27632
36	4.58156
51	2.03641
90	4.64857
75	2.50347
113.682	2.42398
45	1.83228
51	3.43379
21	3.05369
84	3.55354
102	6.82067
120	1.86121
81	3.3083
90	5.02342
48	2.42759
84	6.44258
75	10.6024
72	1.80912
45	1.97609
63	6.35052
48	1.52704
81	1.58726
123	1.09958
102	1.43603
90	0.554614
126	4.00145
42	4.72673
87	2.20434
